Well Number,Tube Number,Template_Name,site,Primer Name,Template Type,Template Size,Submitter Email,Original Sample Conc.,Original sample conc. units
A1,1,PM_HP_1,HP,,,,,1.03,ng/uL
A10,73,PM_HP_10,HP,,,,,0.741,ng/uL
A11,81,PM_HP_11,HP,,,,,0.162,ng/uL
A12,89,PM_HP_12,HP,,,,,0.266,ng/uL
B1,2,PM_HP_13,HP,,,,,0.35,ng/uL
B2,10,PM_HP_14,HP,,,,,0.714,ng/uL
B3,18,PM_HP_15,HP,,,,,0.346,ng/uL
A2,9,PM_HP_2,HP,,,,,3.08,ng/uL
A3,17,PM_HP_3,HP,,,,,1.31,ng/uL
A4,25,PM_HP_4,HP,,,,,2.5,ng/uL
A5,33,PM_HP_5,HP,,,,,1.27,ng/uL
A6,41,PM_HP_6,HP,,,,,0.923,ng/uL
A7,49,PM_HP_7,HP,,,,,0.835,ng/uL
A8,57,PM_HP_8,HP,,,,,0.948,ng/uL
A9,65,PM_HP_9,HP,,,,,0.265,ng/uL
F9,70,PM_JA_1,JA,,,,,1.22,ng/uL
F10,78,PM_JA_2,JA,,,,,1.32,ng/uL
F11,86,PM_JA_3,JA,,,,,0.462,ng/uL
F12,94,PM_JA_4,JA,,,,,1.1,ng/uL
G6,47,PM_JA_10,JA,,,,,2.82,ng/uL
G7,55,PM_JA_11,JA,,,,,0.367,ng/uL
G8,63,PM_JA_12,JA,,,,,0.387,ng/uL
G9,71,PM_JA_13,JA,,,,,0.269,ng/uL
G10,79,PM_JA_14,JA,,,,,0.484,ng/uL
G11,87,PM_JA_15,JA,,,,,0.698,ng/uL
G1,7,PM_JA_5,JA,,,,,1.14,ng/uL
G2,15,PM_JA_6,JA,,,,,0.9,ng/uL
G3,23,PM_JA_7,JA,,,,,5.35,ng/uL
G4,31,PM_JA_8,JA,,,,,4.06,ng/uL
G5,39,PM_JA_9,JA,,,,,1.09,ng/uL
E4,29,PM_LB_1,LB,,,,,1.24,ng/uL
F1,6,PM_LB_10,LB,,,,,0.411,ng/uL
F2,14,PM_LB_11,LB,,,,,0.398,ng/uL
F3,22,PM_LB_12,LB,,,,,0.418,ng/uL
F4,30,PM_LB_13,LB,,,,,0.493,ng/uL
