param,effectiveSampleSize,potentialScaleReductionFactor
q_ind_0_pop_0,2723.79,1.001
q_ind_1_pop_0,1073.22,1.002
q_ind_2_pop_0,1025.11,1.001
q_ind_3_pop_0,4049.93,1.000
q_ind_4_pop_0,2381.56,1.000
q_ind_5_pop_0,2892.06,1.000
q_ind_6_pop_0,2249.94,1.000
q_ind_7_pop_0,2678.13,1.000
q_ind_8_pop_0,3396.96,1.001
q_ind_9_pop_0,2287.94,1.001
q_ind_10_pop_0,3165.80,1.000
q_ind_11_pop_0,919.43,1.003
q_ind_12_pop_0,2769.39,1.000
q_ind_13_pop_0,2134.47,1.001
q_ind_14_pop_0,1312.43,1.001
q_ind_15_pop_0,300.20,1.004
q_ind_16_pop_0,288.22,1.003
q_ind_17_pop_0,464.77,1.002
q_ind_18_pop_0,723.56,1.001
q_ind_19_pop_0,157.28,1.011
q_ind_20_pop_0,779.79,1.001
q_ind_21_pop_0,110.67,1.000
q_ind_22_pop_0,666.65,1.002
q_ind_23_pop_0,350.42,1.009
q_ind_24_pop_0,2662.09,1.003
q_ind_25_pop_0,1272.76,1.000
q_ind_26_pop_0,1662.11,1.001
q_ind_27_pop_0,1161.89,1.001
q_ind_28_pop_0,659.26,1.001
q_ind_29_pop_0,1550.21,1.001
q_ind_30_pop_0,1514.72,1.000
q_ind_31_pop_0,1831.60,1.002
q_ind_32_pop_0,2912.60,1.000
q_ind_33_pop_0,3106.85,1.000
q_ind_34_pop_0,2021.12,1.000
q_ind_35_pop_0,755.27,1.000
q_ind_36_pop_0,4221.30,1.000
q_ind_37_pop_0,2233.05,1.003
q_ind_38_pop_0,2414.60,1.000
q_ind_39_pop_0,958.39,1.003
q_ind_40_pop_0,717.69,1.001
q_ind_41_pop_0,1037.88,1.001
q_ind_42_pop_0,3216.97,1.000
q_ind_43_pop_0,1033.65,1.002
q_ind_44_pop_0,2680.78,1.000
q_ind_45_pop_0,154.96,1.011
q_ind_46_pop_0,1227.25,1.001
q_ind_47_pop_0,1391.83,1.000
q_ind_48_pop_0,1130.64,1.000
q_ind_49_pop_0,2181.16,1.000
q_ind_50_pop_0,2781.19,1.000
q_ind_51_pop_0,2258.64,1.000
q_ind_52_pop_0,1184.91,1.001
q_ind_53_pop_0,1034.05,1.002
q_ind_54_pop_0,2488.78,1.000
q_ind_55_pop_0,3259.41,1.000
q_ind_56_pop_0,3382.50,1.000
q_ind_57_pop_0,3314.91,1.001
q_ind_58_pop_0,2871.68,1.001
q_ind_59_pop_0,1323.74,1.000
q_ind_60_pop_0,3553.30,1.000
q_ind_61_pop_0,3447.41,1.001
q_ind_62_pop_0,3066.60,1.001
q_ind_63_pop_0,3424.76,1.000
q_ind_64_pop_0,2848.63,1.002
q_ind_65_pop_0,2801.38,1.000
q_ind_66_pop_0,2415.54,1.000
q_ind_67_pop_0,2282.55,1.000
q_ind_68_pop_0,1861.74,1.001
q_ind_69_pop_0,3853.82,1.000
q_ind_70_pop_0,3268.06,1.000
q_ind_71_pop_0,3390.75,1.000
q_ind_72_pop_0,3941.15,1.001
q_ind_73_pop_0,3302.91,1.001
q_ind_74_pop_0,1863.95,1.002
q_ind_75_pop_0,3318.47,1.000
q_ind_76_pop_0,3777.80,1.000
q_ind_77_pop_0,2472.31,1.000
q_ind_78_pop_0,2751.85,1.000
q_ind_79_pop_0,1327.10,1.000
q_ind_80_pop_0,2606.44,1.002
q_ind_81_pop_0,2890.35,1.000
q_ind_82_pop_0,2684.72,1.002
q_ind_83_pop_0,2932.00,1.001
q_ind_84_pop_0,1410.97,1.000
q_ind_85_pop_0,2799.55,1.000
q_ind_86_pop_0,2088.66,1.003
q_ind_87_pop_0,2351.64,1.001
q_ind_88_pop_0,3034.16,1.000
q_ind_0_pop_1,639.23,1.001
q_ind_1_pop_1,991.36,1.004
q_ind_2_pop_1,696.93,1.002
q_ind_3_pop_1,549.18,1.006
q_ind_4_pop_1,559.41,1.008
q_ind_5_pop_1,647.40,1.006
q_ind_6_pop_1,854.33,1.006
q_ind_7_pop_1,698.93,1.002
q_ind_8_pop_1,758.94,1.001
q_ind_9_pop_1,490.47,1.002
q_ind_10_pop_1,23.92,1.057
q_ind_11_pop_1,785.17,1.005
q_ind_12_pop_1,697.67,1.000
q_ind_13_pop_1,900.32,1.001
q_ind_14_pop_1,1226.93,1.005
q_ind_15_pop_1,1446.29,1.002
q_ind_16_pop_1,2285.69,1.001
q_ind_17_pop_1,82.86,1.001
q_ind_18_pop_1,3009.84,1.000
q_ind_19_pop_1,1886.32,1.000
q_ind_20_pop_1,1659.24,1.000
q_ind_21_pop_1,39.08,1.045
q_ind_22_pop_1,188.12,1.001
q_ind_23_pop_1,1402.50,1.001
q_ind_24_pop_1,3546.85,1.000
q_ind_25_pop_1,1958.27,1.003
q_ind_26_pop_1,3148.13,1.001
q_ind_27_pop_1,2914.39,1.001
q_ind_28_pop_1,2497.58,1.000
q_ind_29_pop_1,1267.42,1.001
q_ind_30_pop_1,111.61,1.018
q_ind_31_pop_1,535.44,1.001
q_ind_32_pop_1,477.43,1.004
q_ind_33_pop_1,2092.31,1.001
q_ind_34_pop_1,939.21,1.002
q_ind_35_pop_1,70.43,1.007
q_ind_36_pop_1,1224.10,1.001
q_ind_37_pop_1,285.32,1.028
q_ind_38_pop_1,278.87,1.005
q_ind_39_pop_1,149.77,1.006
q_ind_40_pop_1,463.16,1.001
q_ind_41_pop_1,657.77,1.001
q_ind_42_pop_1,625.04,1.001
q_ind_43_pop_1,198.59,1.014
q_ind_44_pop_1,650.28,1.005
q_ind_45_pop_1,882.51,1.001
q_ind_46_pop_1,871.33,1.003
q_ind_47_pop_1,632.26,1.005
q_ind_48_pop_1,1739.19,1.000
q_ind_49_pop_1,841.75,1.002
q_ind_50_pop_1,1365.10,1.001
q_ind_51_pop_1,895.74,1.005
q_ind_52_pop_1,1096.08,1.002
q_ind_53_pop_1,1141.91,1.000
q_ind_54_pop_1,520.25,1.000
q_ind_55_pop_1,2024.70,1.003
q_ind_56_pop_1,89.49,1.006
q_ind_57_pop_1,745.13,1.002
q_ind_58_pop_1,743.37,1.000
q_ind_59_pop_1,575.08,1.008
q_ind_60_pop_1,2059.12,1.001
q_ind_61_pop_1,1674.24,1.002
q_ind_62_pop_1,2018.57,1.002
q_ind_63_pop_1,2209.18,1.001
q_ind_64_pop_1,1254.99,1.000
q_ind_65_pop_1,1570.08,1.001
q_ind_66_pop_1,224.04,1.005
q_ind_67_pop_1,291.64,1.001
q_ind_68_pop_1,942.68,1.002
q_ind_69_pop_1,738.43,1.006
q_ind_70_pop_1,316.41,1.003
q_ind_71_pop_1,814.39,1.000
q_ind_72_pop_1,56.61,1.005
