param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000019,0.000000,0.000000,0.000208
q_ind_1_pop_0,0.000064,0.000000,0.000000,0.000648
q_ind_2_pop_0,0.000034,0.000000,0.000000,0.000407
q_ind_3_pop_0,0.000017,0.000000,0.000000,0.000160
q_ind_4_pop_0,0.000027,0.000000,0.000000,0.000286
q_ind_5_pop_0,0.000019,0.000000,0.000000,0.000220
q_ind_6_pop_0,0.000022,0.000000,0.000000,0.000236
q_ind_7_pop_0,0.000026,0.000000,0.000000,0.000282
q_ind_8_pop_0,0.000017,0.000000,0.000000,0.000202
q_ind_9_pop_0,0.000026,0.000000,0.000000,0.000278
q_ind_10_pop_0,0.000023,0.000000,0.000000,0.000223
q_ind_11_pop_0,0.000137,0.000000,0.000000,0.001611
q_ind_12_pop_0,0.000030,0.000000,0.000000,0.000280
q_ind_13_pop_0,0.000027,0.000000,0.000000,0.000290
q_ind_14_pop_0,0.000052,0.000000,0.000000,0.000573
q_ind_15_pop_0,0.000033,0.000000,0.000000,0.000234
q_ind_16_pop_0,0.000017,0.000000,0.000000,0.000185
q_ind_17_pop_0,0.000459,0.000000,0.000000,0.006864
q_ind_18_pop_0,0.000017,0.000000,0.000000,0.000175
q_ind_19_pop_0,0.000022,0.000000,0.000000,0.000223
q_ind_20_pop_0,0.000026,0.000000,0.000000,0.000295
q_ind_21_pop_0,0.000067,0.000000,0.000000,0.000827
q_ind_22_pop_0,0.000510,0.000000,0.000000,0.007859
q_ind_23_pop_0,0.000019,0.000000,0.000000,0.000209
q_ind_24_pop_0,0.000012,0.000000,0.000000,0.000128
q_ind_25_pop_0,0.000016,0.000000,0.000000,0.000172
q_ind_26_pop_0,0.000014,0.000000,0.000000,0.000160
q_ind_27_pop_0,0.000014,0.000000,0.000000,0.000146
q_ind_28_pop_0,0.000012,0.000000,0.000000,0.000126
q_ind_29_pop_0,0.000061,0.000000,0.000000,0.000655
q_ind_30_pop_0,0.000043,0.000000,0.000000,0.000493
q_ind_31_pop_0,0.000122,0.000000,0.000000,0.001295
q_ind_32_pop_0,0.000041,0.000000,0.000000,0.000436
q_ind_33_pop_0,0.000019,0.000000,0.000000,0.000204
q_ind_34_pop_0,0.000025,0.000000,0.000000,0.000281
q_ind_35_pop_0,0.000087,0.000000,0.000000,0.000986
q_ind_36_pop_0,0.000021,0.000000,0.000000,0.000232
q_ind_37_pop_0,0.000042,0.000000,0.000000,0.000451
