"","ID1","ID2","k0","k1","niter","kinship"
"1","PM_HP_10.sorted.bam","PM_HP_11.sorted.bam",1,0,147,0
"2","PM_HP_10.sorted.bam","PM_HP_12.sorted.bam",1,0,161,0
"3","PM_HP_10.sorted.bam","PM_HP_13.sorted.bam",1,0,224,0
"4","PM_HP_10.sorted.bam","PM_HP_14.sorted.bam",1,0,199,0
"5","PM_HP_10.sorted.bam","PM_HP_15.sorted.bam",1,0,191,0
"6","PM_HP_10.sorted.bam","PM_HP_1.sorted.bam",1,0,161,0
"7","PM_HP_10.sorted.bam","PM_HP_2.sorted.bam",1,0,215,0
"8","PM_HP_10.sorted.bam","PM_HP_3.sorted.bam",1,0,278,0
"9","PM_HP_10.sorted.bam","PM_HP_4.sorted.bam",1,0,161,0
"10","PM_HP_10.sorted.bam","PM_HP_5.sorted.bam",1,0,204,0
"11","PM_HP_10.sorted.bam","PM_HP_6.sorted.bam",1,0,149,0
"12","PM_HP_10.sorted.bam","PM_HP_7.sorted.bam",1,0,146,0
"13","PM_HP_10.sorted.bam","PM_HP_8.sorted.bam",1,0,161,0
"14","PM_HP_10.sorted.bam","PM_HP_9.sorted.bam",1,0,141,0
"15","PM_HP_11.sorted.bam","PM_HP_12.sorted.bam",1,0,147,0
"16","PM_HP_11.sorted.bam","PM_HP_13.sorted.bam",1,0,128,0
"17","PM_HP_11.sorted.bam","PM_HP_14.sorted.bam",1,0,134,0
"18","PM_HP_11.sorted.bam","PM_HP_15.sorted.bam",1,0,175,0
"19","PM_HP_11.sorted.bam","PM_HP_1.sorted.bam",1,0,145,0
"20","PM_HP_11.sorted.bam","PM_HP_2.sorted.bam",1,0,134,0
"21","PM_HP_11.sorted.bam","PM_HP_3.sorted.bam",1,0,133,0
"22","PM_HP_11.sorted.bam","PM_HP_4.sorted.bam",1,0,134,0
"23","PM_HP_11.sorted.bam","PM_HP_5.sorted.bam",1,0,121,0
"24","PM_HP_11.sorted.bam","PM_HP_6.sorted.bam",1,0,207,0
"25","PM_HP_11.sorted.bam","PM_HP_7.sorted.bam",1,0,151,0
"26","PM_HP_11.sorted.bam","PM_HP_8.sorted.bam",1,0,217,0
"27","PM_HP_11.sorted.bam","PM_HP_9.sorted.bam",1,0,211,0
"28","PM_HP_12.sorted.bam","PM_HP_13.sorted.bam",1,0,154,0
"29","PM_HP_12.sorted.bam","PM_HP_14.sorted.bam",1,0,165,0
"30","PM_HP_12.sorted.bam","PM_HP_15.sorted.bam",1,0,164,0
"31","PM_HP_12.sorted.bam","PM_HP_1.sorted.bam",1,0,144,0
"32","PM_HP_12.sorted.bam","PM_HP_2.sorted.bam",1,0,177,0
"33","PM_HP_12.sorted.bam","PM_HP_3.sorted.bam",1,0,142,0
"34","PM_HP_12.sorted.bam","PM_HP_4.sorted.bam",1,0,166,0
"35","PM_HP_12.sorted.bam","PM_HP_5.sorted.bam",1,0,191,0
"36","PM_HP_12.sorted.bam","PM_HP_6.sorted.bam",1,0,126,0
