"","ID1","ID2","k0","k1","niter","kinship"
"1","PM_LB_10.sorted.bam","PM_LB_11.sorted.bam",1,0,133,0
"2","PM_LB_10.sorted.bam","PM_LB_12.sorted.bam",1,0,156,0
"3","PM_LB_10.sorted.bam","PM_LB_13.sorted.bam",1,0,181,0
"4","PM_LB_10.sorted.bam","PM_LB_14.sorted.bam",1,0,120,0
"5","PM_LB_10.sorted.bam","PM_LB_15.sorted.bam",1,0,120,0
"6","PM_LB_10.sorted.bam","PM_LB_16.sorted.bam",0.994709973437404,4.85204383560247e-05,228,0.00263288317170901
"7","PM_LB_10.sorted.bam","PM_LB_17.sorted.bam",1,0,154,0
"8","PM_LB_10.sorted.bam","PM_LB_1.sorted.bam",1,0,157,0
"9","PM_LB_10.sorted.bam","PM_LB_2.sorted.bam",1,0,174,0
"10","PM_LB_10.sorted.bam","PM_LB_3.sorted.bam",1,0,156,0
"11","PM_LB_10.sorted.bam","PM_LB_4.sorted.bam",1,0,135,0
"12","PM_LB_10.sorted.bam","PM_LB_5.sorted.bam",1,0,184,0
"13","PM_LB_10.sorted.bam","PM_LB_6.sorted.bam",1,0,146,0
"14","PM_LB_10.sorted.bam","PM_LB_7.sorted.bam",1,0,179,0
"15","PM_LB_10.sorted.bam","PM_LB_8.sorted.bam",1,0,224,0
"16","PM_LB_10.sorted.bam","PM_LB_9.sorted.bam",1,0,209,0
"17","PM_LB_11.sorted.bam","PM_LB_12.sorted.bam",1,0,176,0
"18","PM_LB_11.sorted.bam","PM_LB_13.sorted.bam",1,0,151,0
"19","PM_LB_11.sorted.bam","PM_LB_14.sorted.bam",1,0,167,0
"20","PM_LB_11.sorted.bam","PM_LB_15.sorted.bam",1,0,146,0
"21","PM_LB_11.sorted.bam","PM_LB_16.sorted.bam",1,0,139,0
"22","PM_LB_11.sorted.bam","PM_LB_17.sorted.bam",1,0,145,0
"23","PM_LB_11.sorted.bam","PM_LB_1.sorted.bam",1,0,201,0
"24","PM_LB_11.sorted.bam","PM_LB_2.sorted.bam",1,0,224,0
"25","PM_LB_11.sorted.bam","PM_LB_3.sorted.bam",1,0,166,0
"26","PM_LB_11.sorted.bam","PM_LB_4.sorted.bam",1,0,143,0
"27","PM_LB_11.sorted.bam","PM_LB_5.sorted.bam",1,0,187,0
"28","PM_LB_11.sorted.bam","PM_LB_6.sorted.bam",1,0,152,0
"29","PM_LB_11.sorted.bam","PM_LB_7.sorted.bam",1,0,150,0
"30","PM_LB_11.sorted.bam","PM_LB_8.sorted.bam",0.982150186633046,0.0010100227452643,412,0.00867240099716099
"31","PM_LB_11.sorted.bam","PM_LB_9.sorted.bam",1,0,215,0
