"","ID1","ID2","k0","k1","niter","kinship"
"1","PM_MT_10.sorted.bam","PM_MT_11.sorted.bam",1,0,219,0
"2","PM_MT_10.sorted.bam","PM_MT_12.sorted.bam",1,0,150,0
"3","PM_MT_10.sorted.bam","PM_MT_13.sorted.bam",1,0,270,0
"4","PM_MT_10.sorted.bam","PM_MT_14.sorted.bam",1,0,255,0
"5","PM_MT_10.sorted.bam","PM_MT_15.sorted.bam",1,0,111,0
"6","PM_MT_10.sorted.bam","PM_MT_1.sorted.bam",0.613823704488703,0.22209687864203,186,0.137563928095141
"7","PM_MT_10.sorted.bam","PM_MT_2.sorted.bam",1,0,110,0
"8","PM_MT_10.sorted.bam","PM_MT_3.sorted.bam",1,0,104,0
"9","PM_MT_10.sorted.bam","PM_MT_4.sorted.bam",1,0,135,0
"10","PM_MT_10.sorted.bam","PM_MT_5.sorted.bam",1,0,170,0
"11","PM_MT_10.sorted.bam","PM_MT_6.sorted.bam",1,0,140,0
"12","PM_MT_10.sorted.bam","PM_MT_7.sorted.bam",1,0,264,0
"13","PM_MT_10.sorted.bam","PM_MT_8.sorted.bam",1,0,116,0
"14","PM_MT_10.sorted.bam","PM_MT_9.sorted.bam",1,0,102,0
"15","PM_MT_11.sorted.bam","PM_MT_12.sorted.bam",1,0,343,0
"16","PM_MT_11.sorted.bam","PM_MT_13.sorted.bam",0.984656676092737,0.000187635238183182,282,0.0076247531440856
"17","PM_MT_11.sorted.bam","PM_MT_14.sorted.bam",1,0,1000,0
"18","PM_MT_11.sorted.bam","PM_MT_15.sorted.bam",1,0,201,0
"19","PM_MT_11.sorted.bam","PM_MT_1.sorted.bam",1,0,131,0
"20","PM_MT_11.sorted.bam","PM_MT_2.sorted.bam",1,0,214,0
"21","PM_MT_11.sorted.bam","PM_MT_3.sorted.bam",1,0,204,0
"22","PM_MT_11.sorted.bam","PM_MT_4.sorted.bam",1,0,133,0
"23","PM_MT_11.sorted.bam","PM_MT_5.sorted.bam",1,0,233,0
"24","PM_MT_11.sorted.bam","PM_MT_6.sorted.bam",1,0,106,0
"25","PM_MT_11.sorted.bam","PM_MT_7.sorted.bam",1,0,190,0
"26","PM_MT_11.sorted.bam","PM_MT_8.sorted.bam",1,0,150,0
"27","PM_MT_11.sorted.bam","PM_MT_9.sorted.bam",1,0,225,0
"28","PM_MT_12.sorted.bam","PM_MT_13.sorted.bam",1,0,164,0
"29","PM_MT_12.sorted.bam","PM_MT_14.sorted.bam",1,0,376,0
"30","PM_MT_12.sorted.bam","PM_MT_15.sorted.bam",1,0,232,0
