"","ID1","ID2","k0","k1","niter","kinship"
"1","PM_MV_11.sorted.bam","PM_MV_1.sorted.bam",1,0,105,0
"2","PM_MV_11.sorted.bam","PM_MV_2.sorted.bam",1,0,130,0
"3","PM_MV_11.sorted.bam","PM_MV_3.sorted.bam",1,0,107,0
"4","PM_MV_11.sorted.bam","PM_MV_4.sorted.bam",1,0,106,0
"5","PM_MV_11.sorted.bam","PM_MV_5.sorted.bam",1,0,106,0
"6","PM_MV_11.sorted.bam","PM_MV_6.sorted.bam",1,0,106,0
"7","PM_MV_11.sorted.bam","PM_MV_7.sorted.bam",1,0,116,0
"8","PM_MV_11.sorted.bam","PM_MV_8.sorted.bam",1,0,159,0
"9","PM_MV_11.sorted.bam","PM_MV_9.sorted.bam",1,0,124,0
"10","PM_MV_1.sorted.bam","PM_MV_2.sorted.bam",1,0,97,0
"11","PM_MV_1.sorted.bam","PM_MV_3.sorted.bam",1,0,150,0
"12","PM_MV_1.sorted.bam","PM_MV_4.sorted.bam",1,0,128,0
"13","PM_MV_1.sorted.bam","PM_MV_5.sorted.bam",1,0,98,0
"14","PM_MV_1.sorted.bam","PM_MV_6.sorted.bam",1,0,131,0
"15","PM_MV_1.sorted.bam","PM_MV_7.sorted.bam",1,0,118,0
"16","PM_MV_1.sorted.bam","PM_MV_8.sorted.bam",1,0,114,0
"17","PM_MV_1.sorted.bam","PM_MV_9.sorted.bam",1,0,101,0
"18","PM_MV_2.sorted.bam","PM_MV_3.sorted.bam",1,0,120,0
"19","PM_MV_2.sorted.bam","PM_MV_4.sorted.bam",1,0,223,0
"20","PM_MV_2.sorted.bam","PM_MV_5.sorted.bam",1,0,118,0
"21","PM_MV_2.sorted.bam","PM_MV_6.sorted.bam",1,0,130,0
"22","PM_MV_2.sorted.bam","PM_MV_7.sorted.bam",1,0,123,0
"23","PM_MV_2.sorted.bam","PM_MV_8.sorted.bam",1,0,117,0
"24","PM_MV_2.sorted.bam","PM_MV_9.sorted.bam",1,0,97,0
"25","PM_MV_3.sorted.bam","PM_MV_4.sorted.bam",1,0,133,0
"26","PM_MV_3.sorted.bam","PM_MV_5.sorted.bam",1,0,102,0
"27","PM_MV_3.sorted.bam","PM_MV_6.sorted.bam",1,0,131,0
"28","PM_MV_3.sorted.bam","PM_MV_7.sorted.bam",1,0,99,0
"29","PM_MV_3.sorted.bam","PM_MV_8.sorted.bam",1,0,125,0
"30","PM_MV_3.sorted.bam","PM_MV_9.sorted.bam",1,0,104,0
"31","PM_MV_4.sorted.bam","PM_MV_5.sorted.bam",1,0,111,0
"32","PM_MV_4.sorted.bam","PM_MV_6.sorted.bam",1,0,85,0
"33","PM_MV_4.sorted.bam","PM_MV_7.sorted.bam",1,0,146,0
"34","PM_MV_4.sorted.bam","PM_MV_8.sorted.bam",1,0,106,0
"35","PM_MV_4.sorted.bam","PM_MV_9.sorted.bam",1,0,96,0
"36","PM_MV_5.sorted.bam","PM_MV_6.sorted.bam",1,0,125,0
"37","PM_MV_5.sorted.bam","PM_MV_7.sorted.bam",1,0,138,0
"38","PM_MV_5.sorted.bam","PM_MV_8.sorted.bam",1,0,91,0
"39","PM_MV_5.sorted.bam","PM_MV_9.sorted.bam",1,0,110,0
"40","PM_MV_6.sorted.bam","PM_MV_7.sorted.bam",1,0,114,0
"41","PM_MV_6.sorted.bam","PM_MV_8.sorted.bam",1,0,103,0
"42","PM_MV_6.sorted.bam","PM_MV_9.sorted.bam",1,0,171,0
"43","PM_MV_7.sorted.bam","PM_MV_8.sorted.bam",1,0,120,0
"44","PM_MV_7.sorted.bam","PM_MV_9.sorted.bam",1,0,113,0
"45","PM_MV_8.sorted.bam","PM_MV_9.sorted.bam",1,0,132,0
