"","ID1","ID2","k0","k1","niter","kinship"
"1","PM_PP_10.sorted.bam","PM_PP_1.sorted.bam",1,0,90,0
"2","PM_PP_10.sorted.bam","PM_PP_2.sorted.bam",1,0,124,0
"3","PM_PP_10.sorted.bam","PM_PP_3.sorted.bam",1,0,117,0
"4","PM_PP_10.sorted.bam","PM_PP_4.sorted.bam",1,0,93,0
"5","PM_PP_10.sorted.bam","PM_PP_5.sorted.bam",1,0,103,0
"6","PM_PP_10.sorted.bam","PM_PP_6.sorted.bam",1,0,96,0
"7","PM_PP_10.sorted.bam","PM_PP_7.sorted.bam",1,0,108,0
"8","PM_PP_10.sorted.bam","PM_PP_8.sorted.bam",1,0,97,0
"9","PM_PP_10.sorted.bam","PM_PP_9.sorted.bam",1,0,125,0
"10","PM_PP_1.sorted.bam","PM_PP_2.sorted.bam",1,0,110,0
"11","PM_PP_1.sorted.bam","PM_PP_3.sorted.bam",1,0,122,0
"12","PM_PP_1.sorted.bam","PM_PP_4.sorted.bam",1,0,139,0
"13","PM_PP_1.sorted.bam","PM_PP_5.sorted.bam",1,0,115,0
"14","PM_PP_1.sorted.bam","PM_PP_6.sorted.bam",1,0,89,0
"15","PM_PP_1.sorted.bam","PM_PP_7.sorted.bam",1,0,171,0
"16","PM_PP_1.sorted.bam","PM_PP_8.sorted.bam",1,0,123,0
"17","PM_PP_1.sorted.bam","PM_PP_9.sorted.bam",1,0,104,0
"18","PM_PP_2.sorted.bam","PM_PP_3.sorted.bam",1,0,136,0
"19","PM_PP_2.sorted.bam","PM_PP_4.sorted.bam",1,0,107,0
"20","PM_PP_2.sorted.bam","PM_PP_5.sorted.bam",1,0,101,0
"21","PM_PP_2.sorted.bam","PM_PP_6.sorted.bam",1,0,107,0
"22","PM_PP_2.sorted.bam","PM_PP_7.sorted.bam",1,0,134,0
"23","PM_PP_2.sorted.bam","PM_PP_8.sorted.bam",1,0,121,0
"24","PM_PP_2.sorted.bam","PM_PP_9.sorted.bam",1,0,119,0
"25","PM_PP_3.sorted.bam","PM_PP_4.sorted.bam",1,0,134,0
"26","PM_PP_3.sorted.bam","PM_PP_5.sorted.bam",1,0,113,0
"27","PM_PP_3.sorted.bam","PM_PP_6.sorted.bam",1,0,233,0
"28","PM_PP_3.sorted.bam","PM_PP_7.sorted.bam",1,0,108,0
"29","PM_PP_3.sorted.bam","PM_PP_8.sorted.bam",1,0,94,0
"30","PM_PP_3.sorted.bam","PM_PP_9.sorted.bam",1,0,87,0
"31","PM_PP_4.sorted.bam","PM_PP_5.sorted.bam",1,0,245,0
"32","PM_PP_4.sorted.bam","PM_PP_6.sorted.bam",1,0,99,0
"33","PM_PP_4.sorted.bam","PM_PP_7.sorted.bam",1,0,132,0
"34","PM_PP_4.sorted.bam","PM_PP_8.sorted.bam",1,0,114,0
"35","PM_PP_4.sorted.bam","PM_PP_9.sorted.bam",1,0,95,0
"36","PM_PP_5.sorted.bam","PM_PP_6.sorted.bam",1,0,103,0
"37","PM_PP_5.sorted.bam","PM_PP_7.sorted.bam",1,0,103,0
"38","PM_PP_5.sorted.bam","PM_PP_8.sorted.bam",1,0,87,0
"39","PM_PP_5.sorted.bam","PM_PP_9.sorted.bam",1,0,176,0
"40","PM_PP_6.sorted.bam","PM_PP_7.sorted.bam",1,0,102,0
"41","PM_PP_6.sorted.bam","PM_PP_8.sorted.bam",1,0,201,0
"42","PM_PP_6.sorted.bam","PM_PP_9.sorted.bam",1,0,116,0
"43","PM_PP_7.sorted.bam","PM_PP_8.sorted.bam",1,0,108,0
"44","PM_PP_7.sorted.bam","PM_PP_9.sorted.bam",1,0,111,0
"45","PM_PP_8.sorted.bam","PM_PP_9.sorted.bam",1,0,159,0
