"","ID1","ID2","k0","k1","kinship"
"1","PM_HP_10.sorted.bam","PM_HP_11.sorted.bam",1,0,0
"2","PM_HP_10.sorted.bam","PM_HP_12.sorted.bam",1,0,0
"3","PM_HP_10.sorted.bam","PM_HP_13.sorted.bam",1,0,0
"4","PM_HP_10.sorted.bam","PM_HP_14.sorted.bam",1,0,0
"5","PM_HP_10.sorted.bam","PM_HP_15.sorted.bam",1,0,0
"6","PM_HP_10.sorted.bam","PM_HP_1.sorted.bam",1,0,0
"7","PM_HP_10.sorted.bam","PM_HP_2.sorted.bam",1,0,0
"8","PM_HP_10.sorted.bam","PM_HP_3.sorted.bam",1,0,0
"9","PM_HP_10.sorted.bam","PM_HP_4.sorted.bam",1,0,0
"10","PM_HP_10.sorted.bam","PM_HP_5.sorted.bam",1,0,0
"11","PM_HP_10.sorted.bam","PM_HP_6.sorted.bam",1,0,0
"12","PM_HP_10.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"13","PM_HP_10.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"14","PM_HP_10.sorted.bam","PM_HP_9.sorted.bam",1,0,0
"15","PM_HP_11.sorted.bam","PM_HP_12.sorted.bam",1,0,0
"16","PM_HP_11.sorted.bam","PM_HP_13.sorted.bam",1,0,0
"17","PM_HP_11.sorted.bam","PM_HP_14.sorted.bam",1,0,0
"18","PM_HP_11.sorted.bam","PM_HP_15.sorted.bam",1,0,0
"19","PM_HP_11.sorted.bam","PM_HP_1.sorted.bam",1,0,0
"20","PM_HP_11.sorted.bam","PM_HP_2.sorted.bam",1,0,0
"21","PM_HP_11.sorted.bam","PM_HP_3.sorted.bam",1,0,0
"22","PM_HP_11.sorted.bam","PM_HP_4.sorted.bam",1,0,0
"23","PM_HP_11.sorted.bam","PM_HP_5.sorted.bam",1,0,0
"24","PM_HP_11.sorted.bam","PM_HP_6.sorted.bam",0.895227263886996,0.104772736113004,0.0261931840282511
"25","PM_HP_11.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"26","PM_HP_11.sorted.bam","PM_HP_8.sorted.bam",0.93246067532054,0.0675393246794604,0.0168848311698651
"27","PM_HP_11.sorted.bam","PM_HP_9.sorted.bam",0.849474409448902,0.150525590551098,0.0376313976377745
"28","PM_HP_12.sorted.bam","PM_HP_13.sorted.bam",1,0,0
"29","PM_HP_12.sorted.bam","PM_HP_14.sorted.bam",1,0,0
"30","PM_HP_12.sorted.bam","PM_HP_15.sorted.bam",1,0,0
"31","PM_HP_12.sorted.bam","PM_HP_1.sorted.bam",1,0,0
"32","PM_HP_12.sorted.bam","PM_HP_2.sorted.bam",1,0,0
"33","PM_HP_12.sorted.bam","PM_HP_3.sorted.bam",1,0,0
"34","PM_HP_12.sorted.bam","PM_HP_4.sorted.bam",1,0,0
"35","PM_HP_12.sorted.bam","PM_HP_5.sorted.bam",1,0,0
"36","PM_HP_12.sorted.bam","PM_HP_6.sorted.bam",1,0,0
"37","PM_HP_12.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"38","PM_HP_12.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"39","PM_HP_12.sorted.bam","PM_HP_9.sorted.bam",1,0,0
"40","PM_HP_13.sorted.bam","PM_HP_14.sorted.bam",1,0,0
"41","PM_HP_13.sorted.bam","PM_HP_15.sorted.bam",1,0,0
"42","PM_HP_13.sorted.bam","PM_HP_1.sorted.bam",1,0,0
"43","PM_HP_13.sorted.bam","PM_HP_2.sorted.bam",1,0,0
"44","PM_HP_13.sorted.bam","PM_HP_3.sorted.bam",1,0,0
"45","PM_HP_13.sorted.bam","PM_HP_4.sorted.bam",1,0,0
"46","PM_HP_13.sorted.bam","PM_HP_5.sorted.bam",1,0,0
"47","PM_HP_13.sorted.bam","PM_HP_6.sorted.bam",1,0,0
"48","PM_HP_13.sorted.bam","PM_HP_7.sorted.bam",1,0,0
"49","PM_HP_13.sorted.bam","PM_HP_8.sorted.bam",1,0,0
"50","PM_HP_13.sorted.bam","PM_HP_9.sorted.bam",1,0,0
"51","PM_HP_14.sorted.bam","PM_HP_15.sorted.bam",1,0,0
"52","PM_HP_14.sorted.bam","PM_HP_1.sorted.bam",1,0,0
