"","ID1","ID2","k0","k1","kinship"
"1","PM_LB_10.sorted.bam","PM_LB_11.sorted.bam",1,0,0
"2","PM_LB_10.sorted.bam","PM_LB_12.sorted.bam",1,0,0
"3","PM_LB_10.sorted.bam","PM_LB_13.sorted.bam",1,0,0
"4","PM_LB_10.sorted.bam","PM_LB_14.sorted.bam",1,0,0
"5","PM_LB_10.sorted.bam","PM_LB_15.sorted.bam",1,0,0
"6","PM_LB_10.sorted.bam","PM_LB_16.sorted.bam",1,0,0
"7","PM_LB_10.sorted.bam","PM_LB_17.sorted.bam",1,0,0
"8","PM_LB_10.sorted.bam","PM_LB_1.sorted.bam",1,0,0
"9","PM_LB_10.sorted.bam","PM_LB_2.sorted.bam",1,0,0
"10","PM_LB_10.sorted.bam","PM_LB_3.sorted.bam",1,0,0
"11","PM_LB_10.sorted.bam","PM_LB_4.sorted.bam",1,0,0
"12","PM_LB_10.sorted.bam","PM_LB_5.sorted.bam",1,0,0
"13","PM_LB_10.sorted.bam","PM_LB_6.sorted.bam",1,0,0
"14","PM_LB_10.sorted.bam","PM_LB_7.sorted.bam",1,0,0
"15","PM_LB_10.sorted.bam","PM_LB_8.sorted.bam",1,0,0
"16","PM_LB_10.sorted.bam","PM_LB_9.sorted.bam",1,0,0
"17","PM_LB_11.sorted.bam","PM_LB_12.sorted.bam",1,0,0
"18","PM_LB_11.sorted.bam","PM_LB_13.sorted.bam",1,0,0
"19","PM_LB_11.sorted.bam","PM_LB_14.sorted.bam",1,0,0
"20","PM_LB_11.sorted.bam","PM_LB_15.sorted.bam",1,0,0
"21","PM_LB_11.sorted.bam","PM_LB_16.sorted.bam",1,0,0
"22","PM_LB_11.sorted.bam","PM_LB_17.sorted.bam",1,0,0
"23","PM_LB_11.sorted.bam","PM_LB_1.sorted.bam",1,0,0
"24","PM_LB_11.sorted.bam","PM_LB_2.sorted.bam",1,0,0
"25","PM_LB_11.sorted.bam","PM_LB_3.sorted.bam",1,0,0
"26","PM_LB_11.sorted.bam","PM_LB_4.sorted.bam",1,0,0
"27","PM_LB_11.sorted.bam","PM_LB_5.sorted.bam",1,0,0
"28","PM_LB_11.sorted.bam","PM_LB_6.sorted.bam",1,0,0
"29","PM_LB_11.sorted.bam","PM_LB_7.sorted.bam",1,0,0
"30","PM_LB_11.sorted.bam","PM_LB_8.sorted.bam",1,0,0
"31","PM_LB_11.sorted.bam","PM_LB_9.sorted.bam",1,0,0
"32","PM_LB_12.sorted.bam","PM_LB_13.sorted.bam",1,0,0
"33","PM_LB_12.sorted.bam","PM_LB_14.sorted.bam",1,0,0
"34","PM_LB_12.sorted.bam","PM_LB_15.sorted.bam",1,0,0
"35","PM_LB_12.sorted.bam","PM_LB_16.sorted.bam",1,0,0
"36","PM_LB_12.sorted.bam","PM_LB_17.sorted.bam",1,0,0
"37","PM_LB_12.sorted.bam","PM_LB_1.sorted.bam",1,0,0
"38","PM_LB_12.sorted.bam","PM_LB_2.sorted.bam",1,0,0
"39","PM_LB_12.sorted.bam","PM_LB_3.sorted.bam",1,0,0
"40","PM_LB_12.sorted.bam","PM_LB_4.sorted.bam",1,0,0
"41","PM_LB_12.sorted.bam","PM_LB_5.sorted.bam",1,0,0
"42","PM_LB_12.sorted.bam","PM_LB_6.sorted.bam",1,0,0
"43","PM_LB_12.sorted.bam","PM_LB_7.sorted.bam",1,0,0
"44","PM_LB_12.sorted.bam","PM_LB_8.sorted.bam",1,0,0
"45","PM_LB_12.sorted.bam","PM_LB_9.sorted.bam",1,0,0
"46","PM_LB_13.sorted.bam","PM_LB_14.sorted.bam",1,0,0
"47","PM_LB_13.sorted.bam","PM_LB_15.sorted.bam",1,0,0
"48","PM_LB_13.sorted.bam","PM_LB_16.sorted.bam",1,0,0
"49","PM_LB_13.sorted.bam","PM_LB_17.sorted.bam",1,0,0
"50","PM_LB_13.sorted.bam","PM_LB_1.sorted.bam",1,0,0
"51","PM_LB_13.sorted.bam","PM_LB_2.sorted.bam",1,0,0
"52","PM_LB_13.sorted.bam","PM_LB_3.sorted.bam",1,0,0
"53","PM_LB_13.sorted.bam","PM_LB_4.sorted.bam",1,0,0
"54","PM_LB_13.sorted.bam","PM_LB_5.sorted.bam",1,0,0
"55","PM_LB_13.sorted.bam","PM_LB_6.sorted.bam",1,0,0
"56","PM_LB_13.sorted.bam","PM_LB_7.sorted.bam",1,0,0
"57","PM_LB_13.sorted.bam","PM_LB_8.sorted.bam",1,0,0
"58","PM_LB_13.sorted.bam","PM_LB_9.sorted.bam",1,0,0
"59","PM_LB_14.sorted.bam","PM_LB_15.sorted.bam",0.559522038033638,0.181533658115556,0.174855566454292
"60","PM_LB_14.sorted.bam","PM_LB_16.sorted.bam",1,0,0
"61","PM_LB_14.sorted.bam","PM_LB_17.sorted.bam",1,0,0
"62","PM_LB_14.sorted.bam","PM_LB_1.sorted.bam",1,0,0
"63","PM_LB_14.sorted.bam","PM_LB_2.sorted.bam",1,0,0
"64","PM_LB_14.sorted.bam","PM_LB_3.sorted.bam",1,0,0
"65","PM_LB_14.sorted.bam","PM_LB_4.sorted.bam",1,0,0
"66","PM_LB_14.sorted.bam","PM_LB_5.sorted.bam",1,0,0
"67","PM_LB_14.sorted.bam","PM_LB_6.sorted.bam",1,0,0
"68","PM_LB_14.sorted.bam","PM_LB_7.sorted.bam",1,0,0
"69","PM_LB_14.sorted.bam","PM_LB_8.sorted.bam",1,0,0
"70","PM_LB_14.sorted.bam","PM_LB_9.sorted.bam",1,0,0
"71","PM_LB_15.sorted.bam","PM_LB_16.sorted.bam",1,0,0
"72","PM_LB_15.sorted.bam","PM_LB_17.sorted.bam",1,0,0
"73","PM_LB_15.sorted.bam","PM_LB_1.sorted.bam",1,0,0
"74","PM_LB_15.sorted.bam","PM_LB_2.sorted.bam",1,0,0
"75","PM_LB_15.sorted.bam","PM_LB_3.sorted.bam",1,0,0
"76","PM_LB_15.sorted.bam","PM_LB_4.sorted.bam",1,0,0
"77","PM_LB_15.sorted.bam","PM_LB_5.sorted.bam",1,0,0
"78","PM_LB_15.sorted.bam","PM_LB_6.sorted.bam",1,0,0
"79","PM_LB_15.sorted.bam","PM_LB_7.sorted.bam",1,0,0
"80","PM_LB_15.sorted.bam","PM_LB_8.sorted.bam",1,0,0
"81","PM_LB_15.sorted.bam","PM_LB_9.sorted.bam",1,0,0
"82","PM_LB_16.sorted.bam","PM_LB_17.sorted.bam",1,0,0
"83","PM_LB_16.sorted.bam","PM_LB_1.sorted.bam",1,0,0
"84","PM_LB_16.sorted.bam","PM_LB_2.sorted.bam",1,0,0
