"","ID1","ID2","k0","k1","kinship"
"1","PM_PP_10.sorted.bam","PM_PP_1.sorted.bam",1,0,0
"2","PM_PP_10.sorted.bam","PM_PP_2.sorted.bam",1,0,0
"3","PM_PP_10.sorted.bam","PM_PP_3.sorted.bam",1,0,0
"4","PM_PP_10.sorted.bam","PM_PP_4.sorted.bam",1,0,0
"5","PM_PP_10.sorted.bam","PM_PP_5.sorted.bam",1,0,0
"6","PM_PP_10.sorted.bam","PM_PP_6.sorted.bam",1,0,0
"7","PM_PP_10.sorted.bam","PM_PP_7.sorted.bam",1,0,0
"8","PM_PP_10.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"9","PM_PP_10.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"10","PM_PP_1.sorted.bam","PM_PP_2.sorted.bam",1,0,0
"11","PM_PP_1.sorted.bam","PM_PP_3.sorted.bam",1,0,0
"12","PM_PP_1.sorted.bam","PM_PP_4.sorted.bam",1,0,0
"13","PM_PP_1.sorted.bam","PM_PP_5.sorted.bam",1,0,0
"14","PM_PP_1.sorted.bam","PM_PP_6.sorted.bam",1,0,0
"15","PM_PP_1.sorted.bam","PM_PP_7.sorted.bam",1,0,0
"16","PM_PP_1.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"17","PM_PP_1.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"18","PM_PP_2.sorted.bam","PM_PP_3.sorted.bam",1,0,0
"19","PM_PP_2.sorted.bam","PM_PP_4.sorted.bam",1,0,0
"20","PM_PP_2.sorted.bam","PM_PP_5.sorted.bam",1,0,0
"21","PM_PP_2.sorted.bam","PM_PP_6.sorted.bam",1,0,0
"22","PM_PP_2.sorted.bam","PM_PP_7.sorted.bam",1,0,0
"23","PM_PP_2.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"24","PM_PP_2.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"25","PM_PP_3.sorted.bam","PM_PP_4.sorted.bam",1,0,0
"26","PM_PP_3.sorted.bam","PM_PP_5.sorted.bam",1,0,0
"27","PM_PP_3.sorted.bam","PM_PP_6.sorted.bam",1,0,0
"28","PM_PP_3.sorted.bam","PM_PP_7.sorted.bam",1,0,0
"29","PM_PP_3.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"30","PM_PP_3.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"31","PM_PP_4.sorted.bam","PM_PP_5.sorted.bam",1,0,0
"32","PM_PP_4.sorted.bam","PM_PP_6.sorted.bam",1,0,0
"33","PM_PP_4.sorted.bam","PM_PP_7.sorted.bam",1,0,0
"34","PM_PP_4.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"35","PM_PP_4.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"36","PM_PP_5.sorted.bam","PM_PP_6.sorted.bam",1,0,0
"37","PM_PP_5.sorted.bam","PM_PP_7.sorted.bam",1,0,0
"38","PM_PP_5.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"39","PM_PP_5.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"40","PM_PP_6.sorted.bam","PM_PP_7.sorted.bam",1,0,0
"41","PM_PP_6.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"42","PM_PP_6.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"43","PM_PP_7.sorted.bam","PM_PP_8.sorted.bam",1,0,0
"44","PM_PP_7.sorted.bam","PM_PP_9.sorted.bam",1,0,0
"45","PM_PP_8.sorted.bam","PM_PP_9.sorted.bam",1,0,0
